time,activity,pain,gain,stu_id,time_type,time_hr,time_min,time_range,group_pain,group_gain,activity_num,last_act
08.30,ตื่นนอน,ไม่อยากตื่น อยากนอนต่อ,ได้เริ่มต้นวันใหม่,6210422033,,8,30,08.00-09.00,ความลำคาญ,สดชื่น,1,
08.35,อาบน้ำ,ยังอยากนอนต่อ,สดชื่น+สะอาด,6210422033,,8,35,08.00-09.00,ง่วง,สดชื่น,2,
09.00,กินอาหาเช้า,ต้องสั่ง Delivery,อิ่มท้อง,6210422033,,9,0,09.00-10.00,ความลำคาญ,อิ่ม,3,
10.00,เดินทางด้วย BTS ไปทำงาน,ราคาสูง,เดินทางสะดวกสบาย,6210422033,,10,0,10.00-11.00,แพง,ฟิน,4,
10.30,ถึงที่ทำงาน เริ่มทำงาน,,เป็นช่วงที่พร้อมทำงานที่สุด,6210422033,,10,30,10.00-11.00,ไม่ระบุ,ฟิน,5,
13.00,กินอาหาเที่ยง,มีร้านให้เลือกน้อย,พักจากการทำงาน และอิ่มท้อง,6210422033,,13,0,13.00-14.00,ความลำคาญ,ฟิน,6,
13.45,กินกาแฟ,,รู้สึกตื่นพร้อมทำงานสำหรับช่วงบ่าย,6210422033,,13,45,13.00-14.00,ไม่ระบุ,ฟิน,7,
14.00,เริ่มทำงานช่วงบ่าย,อยากพักต่อ,ได้เริ่มทำงานที่ค้างอยู่ให้เสร็จ,6210422033,,14,0,14.00-15.00,ง่วง,ฟิน,8,
15.15,ประชุมทีมย่อย,,สรุปงานที่จะทำประจำวัน,6210422033,,15,15,15.00-16.00,ไม่ระบุ,ฟิน,9,
15.45,ประชุมทีมใหญ่,,สรุปรายละเอียดระหว่างทีม,6210422033,,15,45,15.00-16.00,ไม่ระบุ,ฟิน,10,
19.15,ประชุมสรุปงานประจำวัน,เวลากระชั้นก่อนเลิกงานแค่ 15 นาที,รู้ความคืบหน้าและปัญหาในแต่ละวัน,6210422033,,19,15,19.00-20.00,ความลำคาญ,ฟิน,11,
19.30,เลิกงาน,ยังคิดเกี่ยวกับปัญหางานที่ค้างอยู่,ออกจาก office กลับบ้านได้,6210422033,,19,30,19.00-20.00,ความลำคาญ,พักผ่อน,12,
19.30,เดินทางด้วย BTS กลับบ้าน,ราคาสูง,เดินทางสะดวกสบาย,6210422033,,19,30,19.00-20.00,แพง,ฟิน,13,
20.00,กินอาหารเย็น,อาหารเดิมๆ ซ้ำๆ,อิ่มท้อง,6210422033,,20,0,20.00-21.00,ความลำคาญ,อิ่ม,14,
21.00,อาบน้ำ,,สดชื่น+สะอาด,6210422033,,21,0,21.00-22.00,ไม่ระบุ,สดชื่น,15,
21.30,เล่นอินเตอร์เน็ท,กลัวตกเทรนด์,ได้ความรู้ใหม่ๆ,6210422033,,21,30,21.00-22.00,ความลำคาญ,เรียนรู้สิ่งใหม่,16,
22.30,ดูทีวี,รู้สึกเสียเวลา,ได้พักผ่อน,6210422033,,22,30,22.00-23.00,ความลำคาญ,พักผ่อน,17,
00.00,นอน,,,6210422033,,0,0,00.00-01.00,ไม่ระบุ,ไม่ระบุ,18,1.0
07.30,ตื่นนอน,ง่วงนอน,ไดพักผ่อนเต็มที่,6210422035,,7,30,07.00-08.00,ง่วง,ฟิน,1,
08.00,อาบน้ำ,น้ำเย็น,สดชื่น ตื่นตัว,6210422035,,8,0,08.00-09.00,หนาว,สดชื่น,2,
08.30,แต่งตัว,เสื้อยับ,ภาพลักษณ์ดี,6210422035,,8,30,08.00-09.00,ความลำคาญ,ฟิน,3,
09.00,เดินทางไปทำงาน,รถติดระหว่างเดินทาง,ถึงที่ทำงานก่อนเวลางาน,6210422035,,9,0,09.00-10.00,ความลำคาญ,ฟิน,4,
09.15,ถึงที่ทำงาน,คนรอเข้าตึกเยอะ,สาวๆให้ส่องเยอะ,6210422035,,9,15,09.00-10.00,ความลำคาญ,ฟิน,5,
09.30,กินข้าวเช้า,หิว,อิ่ม,6210422035,,9,30,09.00-10.00,หิว-กลัวอ้วน,อิ่ม,6,
09.45,ซื้อกาแฟ,ง่วงนอน,ตื่นตัวเมื่อได้ดื่มกาแฟ,6210422035,,9,45,09.00-10.00,ง่วง,ฟิน,7,
10.00,เริ่มงาน,ไม่มี Passive income,ได้เงินเดือนตอนปลายเดือน,6210422035,,10,0,10.00-11.00,แพง,ได้เงิน,8,
14.00,กินข้าวเที่ยง,หิว,อิ่ม,6210422035,,14,0,14.00-15.00,หิว-กลัวอ้วน,อิ่ม,9,
14.30,ซื้อของกินเล่นเพิ่มเติม,อยากกิน,หายอยาก,6210422035,,14,30,14.00-15.00,ความลำคาญ,ฟิน,10,
15.00,เรื่มงานบ่าย,มีงานค้างจากตอนเช้า,เคลียงานเสร็จก่อนเลิกงาน,6210422035,,15,0,15.00-16.00,ความลำคาญ,ฟิน,11,
19.00,เลิกงาน,เหงา,ได้พักผ่อน,6210422035,,19,0,19.00-20.00,ความลำคาญ,พักผ่อน,12,
19.30,กินข้าวเย็น,หิว,อิ่ม,6210422035,,19,30,19.00-20.00,หิว-กลัวอ้วน,อิ่ม,13,
20.00,เดินทางกลับบ้าน,รถติดระหว่างเดินทาง,ถึงบ้าน,6210422035,,20,0,20.00-21.00,ความลำคาญ,พักผ่อน,14,
20.30,ดู Netflix,เสียค่ารายเดือน,ได้ผ่อนคลาย สนุก,6210422035,,20,30,20.00-21.00,แพง,พักผ่อน,15,
21.30,อาบน้ำ,น้ำเย็น,สดชื่่น สะอาด รู้สึกผ่อนคลาย,6210422035,,21,30,21.00-22.00,หนาว,สดชื่น,16,
22.00,นอนอ่านหนังสือ,ทำให้ง่วงนอนง่าย,ได้ความรู้เพิ่มเติม,6210422035,,22,0,22.00-23.00,ง่วง,ฟิน,17,
23.30,เข้านอน,ไม่อยากนอน,ได้นอนหลับพักผ่อน,6210422035,,23,30,23.00-24.00,ความลำคาญ,ฟิน,18,1.0
07.00,ให้อาหารแมว,,มีความสุข,6220422004,,7,0,07.00-08.00,ไม่ระบุ,ฟิน,1,
07.30,นอน,,,6220422004,,7,30,07.00-08.00,ไม่ระบุ,ไม่ระบุ,2,
08.30,ตื่นนอน,นอนยังไม่พอ อยากนอนต่อ,รู้สึกได้พักผ่อน,6220422004,,8,30,08.00-09.00,ความลำคาญ,พักผ่อน,3,
09.00,อาบน้ำ,หนาว,รู้สึกสะอาด สดชื่น,6220422004,,9,0,09.00-10.00,หนาว,สดชื่น,4,
10.00,Meeting,หาข้อสรุปไม่ได้,ทุกคนมีความเข้าใจในทางเดียวกัน,6220422004,,10,0,10.00-11.00,ความลำคาญ,ฟิน,5,
11.00,ทำงาน,แก้งานจุดเดิมเพิ่ม,สนุกที่ได้ทำงานต่างๆ,6220422004,,11,0,11.00-12.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,6,
13.00,ทานมื้อเที่ยง,ทานเมนูเดิม,อิ่ม,6220422004,,13,0,13.00-14.00,ความลำคาญ,อิ่ม,7,
14.00,ทำงาน,แก้งานจุดเดิมเพิ่ม,สนุกที่ได้ทำงานต่างๆ,6220422004,,14,0,14.00-15.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,8,
15.00,Meeting,หาข้อสรุปไม่ได้,ทุกคนมีความเข้าใจในทางเดียวกัน,6220422004,,15,0,15.00-16.00,ความลำคาญ,ฟิน,9,
16.00,ทำงาน,แก้งานจุดเดิมเพิ่ม,สนุกที่ได้ทำงานต่างๆ,6220422004,,16,0,16.00-17.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,10,
17.30,Shopping,ช๊อปเพลิน กระเป๋าเบาเลย,ได้ซื้อของ คลายความเครียด,6220422004,,17,30,17.00-18.00,ความลำคาญ,พักผ่อน,11,
18.30,ทานมื้อเย็น,ไม่รู้จะกินอะไร กลัวอ้วน,อิ่ม,6220422004,,18,30,18.00-19.00,ความลำคาญ,อิ่ม,12,
19.00,ทำงาน,แก้งานจุดเดิมเพิ่ม,สนุกที่ได้ทำงานต่างๆ,6220422004,,19,0,19.00-20.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,13,
21.00,อาบน้ำ,หนาว,รู้สึกสะอาด สดชื่น,6220422004,,21,0,21.00-22.00,หนาว,สดชื่น,14,
21.30,เล่นเกมส์,อยากเล่นต่อ,ผ่อนคลาย,6220422004,,21,30,21.00-22.00,ง่วง,พักผ่อน,15,
22.00,Self Learning,เวลาไม่เข้าใจ ขาดคนแนะนำ,ได้พัฒนาตัวเอง,6220422004,,22,0,22.00-23.00,ความลำคาญ,เรียนรู้สิ่งใหม่,16,
00.00,เล่นกับแมว,,มีความสุข,6220422004,,0,0,00.00-01.00,ไม่ระบุ,ฟิน,17,
01.00,นอน,,,6220422004,,1,0,01.00-02.00,ไม่ระบุ,ไม่ระบุ,18,1.0
06.45,Wake up,Still sleeping,Fresh recovery,6310422093,,6,45,06.00-07.00,ง่วง,สดชื่น,1,
07.00,Jogging or execise,Tired,Burn calories,6310422093,,7,0,07.00-08.00,เหนื่อย,ออกกำลังกาย,2,
08.00,Take a shower,Do it quick,Get clean,6310422093,,8,0,08.00-09.00,ความลำคาญ,สดชื่น,3,
08.30,Drive a car to workplace,Bad traffic,Comfortable personal car,6310422093,,8,30,08.00-09.00,รถติด-ต้องขับรถ,ฟิน,4,
09.15,Breakfast,Less choices of restaurant,Not hungry,6310422093,,9,15,09.00-10.00,ความลำคาญ,ฟิน,5,
09.30,Start a work,Stressful job,Earn salary,6310422093,,9,30,09.00-10.00,ความลำคาญ,ได้เงิน,6,
13.00,Lunch,Many choices of restaurant,Not hungry,6310422093,,13,0,13.00-14.00,ความลำคาญ,ฟิน,7,
14.00,Back to workplace,Stressful job,Earn salary,6310422093,,14,0,14.00-15.00,ความลำคาญ,ได้เงิน,8,
18.00,Dinner,"Low cal. Food, not a good taste",Not hungry,6310422093,,18,0,18.00-19.00,ความลำคาญ,ฟิน,9,
18.30,Drive a car to gym,Bad traffic,Comfortable personal car,6310422093,,18,30,18.00-19.00,รถติด-ต้องขับรถ,ฟิน,10,
19.00,Fitness,Tired,Burn calories,6310422093,,19,0,19.00-20.00,เหนื่อย,ออกกำลังกาย,11,
20.30,Drive a car to home,Bad traffic and less vision,Safty arrive,6310422093,,20,30,20.00-21.00,รถติด-ต้องขับรถ,พักผ่อน,12,
21.30,Take a shower,Concentrate body washing,Get clean,6310422093,,21,30,21.00-22.00,ความลำคาญ,สดชื่น,13,
22.00,Gaming on computer,Wasted time,Entertaining,6310422093,,22,0,22.00-23.00,ความลำคาญ,ฟิน,14,
1900-01-01,Sleep,Less sleep quality,Recovering,6310422093,,0,0,00.00-01.00,ความลำคาญ,สดชื่น,15,1.0
07.30,ตื่นนอน,ไม่อยากตื่น อยากนอนต่อ,ได้เริ่มต้นวันใหม่,6310422096,,7,30,07.00-08.00,ความลำคาญ,สดชื่น,1,
07.35,อาบน้ำ,หนาว ไม่อยากอาบ,สดชื่น+สะอาด,6310422096,,7,35,07.00-08.00,หนาว,สดชื่น,2,
07.45,เดินทางไปทำงาน,ขี้เกียจขับรถ,ได้ตั้งสติก่อนสตาร์ท,6310422096,,7,45,07.00-08.00,หนาว,สดชื่น,3,
08.00,สแกนนิ้ว,นิ้วเปื้อน,เข้างานทัน,6310422096,,8,0,08.00-09.00,ความลำคาญ,ฟิน,4,
08.10,เดินรอบคลัง,เมื่อยขา ง่วงนอน เบลอ ๆ ,เดินรู้ความเคลื่อนไหวในคลัง,6310422096,,8,10,08.00-09.00,ความลำคาญ,ออกกำลังกาย,5,
08.30,ดูแผนตู้เข้า,แผนมาช้ากว่าตู้,ได้ออกกำลังกายเดินไปตามงาน,6310422096,,8,30,08.00-09.00,ความลำคาญ,ออกกำลังกาย,6,
09.00,ทำ Label ติดงาน,เดินไปถ่ายเอกสารไกล,ได้ทำป้ายชี้บ่งให้กับงานรู้ง่าย,6310422096,,9,0,09.00-10.00,ความลำคาญ,เรียนรู้สิ่งใหม่,7,
10.00,ตรวจสอบงานที่ลงตู้,ชอบมองข้ามงานบางงาน,ให้รับรู้ว่างานมาครบ,6310422096,,10,0,10.00-11.00,ความลำคาญ,เรียนรู้สิ่งใหม่,8,
12.00,พักเที่ยง,หิว,หายหิว,6310422096,,12,0,12.00-13.00,หิว-กลัวอ้วน,ฟิน,9,
12.45,งีบ,งีบไม่ค่อยหลับ,ได้พักผ่อนเต็มที่,6310422096,,12,45,12.00-13.00,ความลำคาญ,พักผ่อน,10,
13.00,ช่วยลูกน้องเรียงงาน,ปวดหลัง,งานเรียบร้อย ได้ออกกำลังกาย,6310422096,,13,0,13.00-14.00,ความลำคาญ,ออกกำลังกาย,11,
14.00,ตรวจสอบงานขาเข้า,ปวดตา ปวดคอ,ได้รู้ว่างานมาครบจริงไหม,6310422096,,14,0,14.00-15.00,ความลำคาญ,เรียนรู้สิ่งใหม่,12,
17.00,พักเบรค,นั่งว่าง,ผ่อนคลาย,6310422096,,17,0,17.00-18.00,ความลำคาญ,พักผ่อน,13,
17.30,มาเรียงงานที่เหลือ,ปวดหลัง,งานเรียบร้อย ได้ออกกำลังกาย,6310422096,,17,30,17.00-18.00,ความลำคาญ,ออกกำลังกาย,14,
19.30,เลิกงาน สแกนนิ้ว,นิ้วเปื้อน,กลับห้อง,6310422096,,19,30,19.00-20.00,ความลำคาญ,พักผ่อน,15,
19.50,ถึงห้อง,เข้าสู่โหมดขี้เกียจ,ได้พักผ่อน,6310422096,,19,50,19.00-20.00,ความลำคาญ,พักผ่อน,16,
21.00,อาบน้ำ,หนาว ไม่อยากอาบ,ผ่อนคลาย สะอาด,6310422096,,21,0,21.00-22.00,หนาว,สดชื่น,17,
21.30,ทำการบ้าน,ขี้เกียจ คิดไม่ออก,การบ้านเสร็จ ได้คะแนน,6310422096,,21,30,21.00-22.00,ความลำคาญ,ทำการบ้าน,18,
22.30,ดูหนัง,เปลืองเวลา,ผ่อนคลาย,6310422096,,22,30,22.00-23.00,ความลำคาญ,พักผ่อน,19,
23.30,เปิดผีฟัง,กลัว,นอนหลับ,6310422096,,23,30,23.00-24.00,ความลำคาญ,ฟิน,20,
00.00,นอน,,,6310422096,,0,0,00.00-01.00,ไม่ระบุ,ไม่ระบุ,21,1.0
7.3,ตื่นนอน,ไม่อยากลุก กลิ้งอยู่บนเตียงจนแปดโมง,,6220422056,,7,30,07.00-08.00,ความลำคาญ,ไม่ระบุ,1,
8,อาบน้ำ,ถ้าไม่ตื่นจะสายแล้วเลยไปอาบน้ำ,,6220422056,,8,0,08.00-09.00,ความลำคาญ,ไม่ระบุ,2,
8.3,แต่งหน้า,,,6220422056,,8,30,08.00-09.00,ไม่ระบุ,ไม่ระบุ,3,
8.5,เดินออกจากคอนโด,,โชคดี คอนโดติด mrt เลยไม่ต้องเดินไกล,6220422056,,8,50,08.00-09.00,ไม่ระบุ,ฟิน,4,
8.55,ขึ้น mrt ไปทำงาน,,,6220422056,,8,55,08.00-09.00,ไม่ระบุ,ไม่ระบุ,5,
9.3,ถึงออฟฟิต,,,6220422056,,9,30,09.00-10.00,ไม่ระบุ,ไม่ระบุ,6,
9.35,ซื้อกาแฟ,ถ้าไม่กินรู้สึกง่วงนอน เพราะติดแล้ว,,6220422056,,9,35,09.00-10.00,ความลำคาญ,ไม่ระบุ,7,
9.45,เช็คอีเมล วางแผนงานที่จะทำ,,,6220422056,,9,45,09.00-10.00,ไม่ระบุ,ไม่ระบุ,8,
10,ประชุม,,,6220422056,,10,0,10.00-11.00,ไม่ระบุ,ไม่ระบุ,9,
12,ไปกินข้าวที่ foodcourt,มีร้านให้เลือกน้อยลง เพราะโควิด คนเข้าออฟฟิตน้อย,,6220422056,,12,0,12.00-13.00,ความลำคาญ,ไม่ระบุ,10,
12.4,ไปเซเว่น ซื้อน้ำยันฮี ,อยากกินน้ำหวาน แต่กลัวน้ำตาลเกิน,ซื้อน้ำวิตามินแทน เพราะอย่างน้อยก็มีกลิ่น,6220422056,,12,40,12.00-13.00,ความลำคาญ,ฟิน,11,
13,ทำงาน,,,6220422056,,13,0,13.00-14.00,ไม่ระบุ,ไม่ระบุ,12,
15,ฟังหัวหน้าบรีฟงาน,,,6220422056,,15,0,15.00-16.00,ไม่ระบุ,ไม่ระบุ,13,
16,ทำงานต่อ,,,6220422056,,16,0,16.00-17.00,ไม่ระบุ,ไม่ระบุ,14,
18,ขึ้น mrt ไป korea town,คนน้อย เลยไม่ต้องรอนาน,,6220422056,,18,0,18.00-19.00,ความลำคาญ,ไม่ระบุ,15,
18.3,กินหมูย่างเกาหลีกับเพื่อน,ตัวเหม็น,เจอเพื่อน ,6220422056,,18,30,18.00-19.00,ความลำคาญ,ฟิน,16,
20,ไปร้านบิงซู แต่ร้านให้นั่งแค่โต๊ะละ 2 คน เลยไม่กิน,"อารมณ์เสีย เพราร้านไม่ให้นั่งด้วยกัน ,อดกิน อดเม้าท์ต่อ",ไม่ต้องกินเยอะ,6220422056,,20,0,20.00-21.00,ความลำคาญ,ฟิน,17,
20.3,ขึ้น mrt กลับคอนโด,,,6220422056,,20,30,20.00-21.00,ไม่ระบุ,ไม่ระบุ,18,
21.2,ถึงคอนโด,,,6220422056,,21,20,21.00-22.00,ไม่ระบุ,ไม่ระบุ,19,
21.2,นั่งเม้าท์กับน้อง,,,6220422056,,21,20,21.00-22.00,ไม่ระบุ,ไม่ระบุ,20,
22,อาบน้ำ,เสียเวลาอาบน้ำนาน เพราะตัวเหม็น,,6220422056,,22,0,22.00-23.00,หนาว,ไม่ระบุ,21,
23,ทำการบ้าน image analytics ,ง่วงนอน แต่ต้องทำการบ้าน,เข้าใจเรื่องที่เรียนมากขึ้น,6220422056,,23,0,23.00-24.00,ความลำคาญ,ฟิน,22,
1,นอน,,นอนหลับสนิทมาก เพราะเหนื่อย,6220422056,,1,0,01.00-02.00,ไม่ระบุ,ฟิน,23,1.0
6.3,ตื่นนอน อาบน้ำ แปรงฟัน,ง่วง,ตื่นเช้า ประปรี้ประเปร่า,6210422010,,6,30,06.00-07.00,ง่วง,ฟิน,1,
7.3,ขับรถไปทำงาน,รถติด,กินข้าวฟังเพลงบนรถ,6210422010,,7,30,07.00-08.00,ความลำคาญ,ฟิน,2,
8.3,ถึงที่ทำงาน,คล้ายจะขี้เกียจทำงาน,ได้ที่จอดรถในชั้นที่เดินเข้าตึกได้ง่าย,6210422010,,8,30,08.00-09.00,ความลำคาญ,ฟิน,3,
8.45,เดินไปร้านกาแฟ,ช่วงเวลาคนเยอะ ต่อคิวนาน,"เจอคู่รักใหม่มาแอบจิบกาแฟ , ได้ฟังเรื่องชาวบ้านที่เค้ามาเม้ามอยกัน , นึกงานออก",6210422010,,8,45,08.00-09.00,ความลำคาญ,ฟิน,4,
9.3,ประชุมกับผู้บริหาร,หาข้อสรุปไม่ได้,ทุกคนมีข้อเสนอแนะเยอะมาก,6210422010,,9,30,09.00-10.00,ความลำคาญ,พักผ่อน,5,
11.3,ประชุมเลิก กลับมาที่โต๊ะทำงาน,เริ่มหิว,ประชุมกลุ่มย่อย หาร้านกินข้าวกลางวัน,6210422010,,11,30,11.00-12.00,หิว-กลัวอ้วน,ฟิน,6,
11.4,ออกไปทานข้าวกลางวัน,อิ่มเกินไป,"ได้กินของอร่อย , ได้ข้อสรุปงานที่คิดไม่ออกเมื่อวันก่อน",6210422010,,11,40,11.00-12.00,เหนื่อย,ฟิน,7,
13.15,ทำงาน,กินเยอะ เริ่มง่วง,ได้งานแน่นอน,6210422010,,13,15,13.00-14.00,ง่วง,ฟิน,8,
14,ประชุมกับหน่วยาน,หาข้อสรุปไม่ได้,บริษัทจ้างมาประชุม อย่างน้อยก็มีงานทำ,6210422010,,14,0,14.00-15.00,ความลำคาญ,ฟิน,9,
15,จิบกาแฟยามบ่าย,กินกาแฟตอนนี้ น่าจะไม่ได้นอน,ตาค้าง มีเอเนอยี่สูง พร้อมทำงานต่อ,6210422010,,15,0,15.00-16.00,ความลำคาญ,ฟิน,10,
15.15,ทำงาน,,,6210422010,,15,15,15.00-16.00,ไม่ระบุ,ไม่ระบุ,11,
15.3,ประชุม,ได้ข้อสรุปจากการประชุมเรื่องเดิมใน ครั้งที่ 3,ได้ข้อสรุป,6210422010,,15,30,15.00-16.00,ความลำคาญ,ฟิน,12,
16.3,ทำงาน,,,6210422010,,16,30,16.00-17.00,ไม่ระบุ,ไม่ระบุ,13,
17.15,คุยกับเพื่อนร่วมงาน เย็นนี้ไปร้านไหนดี,เพื่อนงานยังไม่เสร็จ ดองไว้เยอะ,ได้ร้านที่จะไป,6210422010,,17,15,17.00-18.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,14,
18,ทานอาหารเย็นกับเพื่อน,ทุกคนหิว อาหารหมดไวมาก,"นินทาหัวหน้า, ได้ข้อสรุปจากเรื่องที่ประชุมเมื่อวันก่อน !!",6210422010,,18,0,18.00-19.00,ความลำคาญ,ฟิน,15,
18.3,จิบไวน์,เมา,รอสร่างเมา เจอตำรวจไม่โดนเป่า,6210422010,,18,30,18.00-19.00,ความลำคาญ,ฟิน,16,
20,ถึงบ้าน,แม่สงสัย ทำไมกลับไว,มีเวลาทำอย่างอื่นต่อ,6210422010,,20,0,20.00-21.00,ความลำคาญ,ทำการบ้าน,17,
20.3,อาบน้ำ,ขี้เกียจ หนาววว,ตัวหอม สร่างเมา ตาสว่าง,6210422010,,20,30,20.00-21.00,หนาว,ฟิน,18,
20.45,อ่านหนังสือ ทำงานนอก,ขี้เกียจ เหนื่อย,ได้งาน ได้ความรู้,6210422010,,20,45,20.00-21.00,ความลำคาญ,เรียนรู้สิ่งใหม่,19,
23.3,ดูซีรีย์จีน,ขัดใจชะนีในเรื่อง มีแต่พระเอกแทนได้ไหม,พระเอกกล้ามหล่อมาก ได้ฝึกฟังภาษาจีนให้คุ้นหู ,6210422010,,23,30,23.00-24.00,ความลำคาญ,ฟิน,20,
0.3,นอน,อยากดูซีรีย์ต่อ แต่ต้องนอน,นอนเยอะๆ แก่ช้า ไม่ต้องเสียตังไปฉีดโบ,6210422010,,0,30,00.00-01.00,ความลำคาญ,ฟิน,21,1.0
8.00,"ตื่นนอนจากนาฬิกาปลุก, เช็คโทรศัพท์มีข้อความอะไรบ้าง อัปเดตข่าวสารจาก twitter","รู้สึกไม่อยากลุกจากที่นอน, หมดเวลาไปกับการดูข้อความใน Social","ตื่นทันที, รับรู้ข่าวสารที่เกิดขึ้น ไม่ตกข่าว",6210422031,,8,0,08.00-09.00,ความลำคาญ,ฟิน,1,
8.30,อาบน้ำ แต่งตัว เตรียมตัวทำงาน,ไม่สดชื่น ไม่พร้อมเริ่มวันใหม่,กระปี้กระเปร่า ตาสว่าง,6210422031,,8,30,08.00-09.00,ความลำคาญ,ฟิน,2,
9.00,เริ่มทำงาน WFH,เบื่อ ,ไม่ต้องเดินทาง,6210422031,,9,0,09.00-10.00,รถติด-ต้องขับรถ,ฟิน,3,
10.45,พักเบรค หาอะไรรองท้อง,หิว ไม่มีพลังในการทำงาน,อิ่ม มีแรงในการทำงาน,6210422031,,10,45,10.00-11.00,ความลำคาญ,ฟิน,4,
11.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,11,0,11.00-12.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,5,
12.00,พักเบรคเที่ยง กินข้าว อ่านนิยาย 1 ตอน เช็คข่าวใน Social เล่นเกมส์ 1 รอบ,หิว ไม่มีพลังในการทำงาน เบื่อ,อิ่ม มีพลังในการทำงาน ได้พักคลายเครียดทำในสิ่งที่รู้สึกชอบ,6210422031,,12,0,12.00-13.00,ความลำคาญ,พักผ่อน,6,
13.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,13,0,13.00-14.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,7,
14.30,พักเบรค,เบื่อ ,ได้พักเติมพลัง,6210422031,,14,30,14.00-15.00,รถติด-ต้องขับรถ,พักผ่อน,8,
14.45,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,14,45,14.00-15.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,9,
17.30,พักเบรคงาน ช่วงเย็น ออกจากบ้านไปหาของกิน ไปซื้อของที่ตั้งใจจะซื้อ,ต้องขับรถออกจากบ้าน,ได้ของกิน ได้ของที่ตั้งใจจะซื้อ ได้ออกไปผ่อนคลาย,6210422031,,17,30,17.00-18.00,รถติด-ต้องขับรถ,ฟิน,10,
18.30,ถึงบ้าน เก็บของ,บ้านรก,อยู่ในที่คุ้นเคย สบายใจ บ้านเป็นระเบียบ,6210422031,,18,30,18.00-19.00,ความลำคาญ,พักผ่อน,11,
19.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จก่อนเวลา เคลียร์ออกได้,6210422031,,19,0,19.00-20.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,12,
21.00,อาบน้ำ,รู้สึกเหนียวตัว สกปรก,รู้สึกสดชื่น สะอาด,6210422031,,21,0,21.00-22.00,ความลำคาญ,สดชื่น,13,
21.30,นั่งคุยกับพี่สาว เล่นกับแมว,รู้สึกเครียดจากงาน,ได้มีปฏิสัมพันธ์กับครอบครัวและแมว ได้ระบายความเบื่อ แมวไม่เหงา,6210422031,,21,30,21.00-22.00,ความลำคาญ,ฟิน,14,
22.00,"เวลาผ่อนคลาย ดู youtube, อ่านนิยาย, social",รู้สึกเครียดจากงาน,ผ่อนคลาย มีความสุข รู้เหตุการณ์ที่เกิดขึ้นในวันนี้มีอะไรบ้าง,6210422031,,22,0,22.00-23.00,ความลำคาญ,พักผ่อน,15,
00.00,นอน,ง่วง,พักผ่อน,6210422031,,0,0,00.00-01.00,ง่วง,พักผ่อน,16,1.0
06.30,ตื่นมาปิดนาฬิกาปลุก รอบที่ 1,ล้า ไม่อยากลุก,ได้นอนต่อ,6210422032,,6,30,06.00-07.00,ความลำคาญ,พักผ่อน,1,
07.00,ตื่นมาปิดนาฬิกาปลุก รอบที่ 2,หนวกหู ไม่อยากลุก,ได้นอนต่อ,6210422032,,7,0,07.00-08.00,ความลำคาญ,พักผ่อน,2,
07.30,ตื่นนอน,รู้สึกขี้เกียจ ไม่อยากลุก,ได้ไปทำกิจกรรมต่างๆ,6210422032,,7,30,07.00-08.00,ความลำคาญ,ฟิน,3,
07.35,เล่มเกมส์,ใช้เวลาในการเล่น เปลืองเวลา ลืมเวลา,คลายความงัวเงีย,6210422032,,7,35,07.00-08.00,ความลำคาญ,พักผ่อน,4,
07.50,อาบน้ำ,หนาว,สดชื่น และตื่นเต็มที่,6210422032,,7,50,07.00-08.00,หนาว,สดชื่น,5,
08.10,แต่งตัว,ใช้เวลาในการเลือกเสื้อผ้า แต่งหน้า แต่งตัว ไม่รู้จะใส่อะไร,สวย เข้ากล้องแล้วหน้าไม่ซีด,6210422032,,8,10,08.00-09.00,ความลำคาญ,ฟิน,6,
08.30,กินอกไก่ไข่ต้ม คลีน (พ่อทำไว้ให้),จืด ไม่อร่อย เบื่อ,ได้สุขภาพ น้ำหนักไม่ขึ้น,6210422032,,8,30,08.00-09.00,ความลำคาญ,ออกกำลังกาย,7,
