Timestamp,คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [อาหารญี่ปุ่น],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [อาหารจึน],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [อาหารไทย],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [อาหารอีสาน],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [อาหารสุขภาพ],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [บุฟเฟต์],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ชาบูชาบู],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ปิ้งย่าง],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [เหล้าเบียร์],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [เสื้อผ้าแฟชั่น],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [แต่งหน้า],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [skincare บำรุงผิว],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การออกกำลังกาย],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การเล่นเกมส์],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การท่องเที่ยว],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การอ่านหนังสือ],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การอ่านบทความ Online],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [การเรียน e-learning],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ดู Series],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ดูหนัง],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ดู Youtube],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [ดู Netflix],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content ด้านบันเทิง],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่่ยวกับเกมส์],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับการ review ร้านอาหาร],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับการท่องเที่ยว],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับการแต่งบ้าน],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับการโทรทัศน์],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับละคร],คุณมีความสนใจในสิ่งเหล่านี้มากน้อยเพียงใด [Content เกี่ยวกับการเมือง],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [อาหารญี่ปุ่น],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [อาหารจึน],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [อาหารไทย],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [อาหารอีสาน],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [อาหารสุขภาพ],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [บุฟเฟต์],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ชาบูชาบู],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ปิ้งย่าง],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [เหล้าเบียร์],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [เสื้อผ้าแฟชั่น],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [แต่งหน้า],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [skincare บำรุงผิว],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การออกกำลังกาย],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การเล่นเกมส์],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การท่องเที่ยว],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การอ่านหนังสือ],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การอ่านบทความ Online],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [การเรียน e-learning],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ดู Series],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ดูหนัง],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ดู Youtube],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [ดู Netflix],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content ด้านบันเทิง],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่่ยวกับเกมส์],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับการ review ร้านอาหาร],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับการท่องเที่ยว],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับการแต่งบ้าน],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับการโทรทัศน์],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับละคร],คุณบริโภคสิ่งเหล่านี้บ่อยขนาดไหน [Content เกี่ยวกับการเมือง],นอกเหนือจากรายการดังกล่าวแล้ว คุณมีความสนใจในเรื่องใดอีกบ้าง,คุณเกิดวันที่เท่าไหร่,เพศ
1-9-2021 10:08:35,สนใจ,สนใจ,เฉยๆ,ไม่สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,วงการ YouTuber,24-06-87,หญิง
1-9-2021 10:08:36,สนใจอย่างมากที่สุด,ไม่สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจ,ไม่สนใจ,สนใจอย่างมากที่สุด,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,การออมเงิน,09-01-21,ชาย
1-9-2021 10:08:36,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,ดนตรี,29-01-93,ชาย
1-9-2021 10:08:39,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,สนใจ,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,สัตว์เลี้ยง น้องหมา น้องแมว,14-03-92,หญิง
1-9-2021 10:08:40,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,ขายของออนไลน์,16-06-90,หญิง
1-9-2021 10:08:44,เฉยๆ,สนใจ,สนใจ,สนใจ,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,ดนตรี,04-12-85,ชาย
1-9-2021 10:08:44,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,ไม่สนใจ,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,สัตว์เลี้ยง,10-11-94,หญิง
1-9-2021 10:08:46,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,อาทิตย์ละครั้ง,เดือนละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,ด้านการเกษตร,28-08-87,ชาย
1-9-2021 10:08:51,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจอย่างมาก,เฉยๆ,ไม่สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Gadget ,22-07-93,ชาย
1-9-2021 10:08:51,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,สนใจ,ไม่สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,สนใจ,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Technology and Gadget,12-09-78,ชาย
1-9-2021 10:08:57,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบทุกวัน,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,-,12-04-91,ชาย
1-9-2021 10:08:59,สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจ,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,ดู Anime,13-09-91,ชาย
1-9-2021 10:09:01,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,แทบทุกวัน,เดือนละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,ดูดวง,28-11-94,หญิง
1-9-2021 10:09:05,สนใจ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมาก,สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Technology,18-10-93,ชาย
1-9-2021 10:09:07,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจ,ไม่สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,การลงทุน,29-05-35,หญิง
1-9-2021 10:09:14,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,รถยนต์,29-07-34,หญิง
1-9-2021 10:09:17,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,เดือนละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,กีฬา,01-03-96,ชาย
